food_name,iron_mg_100g,b12_mcg_100g,calcium_mg_100g,vit_d_mcg_100g,vit_c_mg_100g,folate_dfe_mcg_100g
"cereals rte,general mills,whl grain total",60,20,3333,8.3,200,2253
"spices,basil,dried",89.8,0,2240,0,0.8,310
"tofu,dried-frozen (koyadofu),prep w/ca sulfate",9.73,0,2134,0,0.7,92
"savory,ground",37.88,0,2132,0,50,
"whey,acid,dried",1.24,2.5,2054,0,0.9,33
"spices, marjoram, dried",82.71,0,1990,,51.4,274
"spices,thyme,dried",123.6,0,1890,0,50,274
"cereals rte,general mills,total raisin bran",34,11.3,1887,4.7,0,1270
"dill weed,dried",48.78,0,1784,0,50,
"spices, celery seed",44.9,0,1767,,17.1,10
"sage,ground",28.12,0,1652,0,32.4,274
"sisymbrium sp. seeds,whl,dried",0.11,0,1633,,30.7,95
"smelt,dried (alaska native)",5.4,19.1,1600,,,
