food_name,iron_mg_100g,b12_mcg_100g,calcium_mg_100g,vit_d_mcg_100g,vit_c_mg_100g,folate_dfe_mcg_100g
"spices,thyme,dried",123.6,0,1890,0,50,274
"spices, basil, dried",89.8,0,2240,,0.8,310
"spearmint,dried",87.47,0,1488,0,0,530
"marjoram,dried",82.71,0,1990,0,51.4,274
"spices, marjoram, dried",82.71,0,1990,,51.4,274
"whale,beluga,meat,dried (alaska native)",72.35,7.31,22,,0,10
"cereals ready-to-eat, ralston enriched wheat bran flakes",67.67,20.69,45,0,239.7,0
"babyfood,crl,oatmeal,w/honey,dry",67.23,0,1154,0,0,35
"seaweed,canadian cultivated emi-tsunomata,dry",66.38,2.25,299,3.1,29,188
cumin seed,66.36,0,931,0,7.7,10
"babyfood,crl,oatmeal,dry fort",64.1,4.6,1160,12.7,0,396
"cereals rte,kellogg,kellogg's all-bran complete wheat flakes",62.1,21,39,3.5,207,2331
