food_name,iron_mg_100g,b12_mcg_100g,calcium_mg_100g,vit_d_mcg_100g,vit_c_mg_100g,folate_dfe_mcg_100g
"babyfood,gerber,2nd foods,appl,carrot & squash,organic",0.15,0,6,0,2732,2
"beverages, orange-flavor drink, breakfast type, low calorie, powder",0.07,0,1378,0,2400,0
"bever,fruit-flav drk,pdr,w/ hi vit c w/ other add vit,lo cal",0.08,0,800,0,2400,5
"peppers,swt,grn,freeze-dried",10.4,0,134,0,1900,229
"peppers, sweet, green, freeze-dried",10.4,0,134,,1900,229
"acerola,(west indian cherry),raw",0.2,0,12,,1677.6,14
"beverages,tea,grn,inst,decaffei,lemon,unswtnd,fort w/ vit c",0.21,0,2,0,1342.3,1
"chives,freeze-dried",20,0,813,0,660,108
"coriander leaf,dried",42.46,0,1246,0,566.7,274
"beverages,fruit-flavored drk,dry pdr mix,lo cal,w/ asprt",0.08,0,1047,0,560,0
"gelatin dssrt,dry mix,red cal,w/ asprt,added p,k,na,vit c",0.02,0,2,,490,14
"formul bar,ma snackfo us,snicke marath ener bar,all flavo",16.31,12.24,754,4.5,489.9,1102
"rose hips, wild (northern plains indians)",1.06,0,169,,426,0
"snacks,candy rolls,yogurt-covered,fruit flav w/ hi vit c",0.56,0,430,0,260.8,2
"babyfood,crl,rice w/ pears & appl,dry,inst fort",9,0,38,0,250,5
