food_name,iron_mg_100g,b12_mcg_100g,calcium_mg_100g,vit_d_mcg_100g,vit_c_mg_100g,folate_dfe_mcg_100g
"clam,mxd sp,ckd,moist heat",2.81,98.89,92,,22.1,29
"beef,nz,imp,var meats & by-products liver,ckd,bld",7.17,96,4,0.1,0,
"lamb,var meats&by-products,liver,raw",7.37,90.05,7,,4,230
"lamb,var meats&by-products,liver,ckd,pan-fried",10.2,85.7,9,,13,400
"veal, variety meats and by-products, liver, cooked, braised",5.11,84.6,6,,1.1,331
"beef,nz,imp,var meats & by-products,liver,raw",8.44,84.5,4,0,0,
"beef, variety meats and by-products, liver, cooked, pan-fried",6.17,83.13,6,,0.7,260
"lamb,var meats&by-products,kidneys,ckd,brsd",12.4,78.9,18,,12,81
"lamb, variety meats and by-products, liver, cooked, braised",8.28,76.5,8,,4,73
"veal,var meats&by-products,liver,ckd,pan-fried",5.98,72.5,7,,0.7,350
"beef,var meats & by-products,liver,ckd,brsd",6.54,70.58,6,1.2,1.9,253
"veal,var meats&by-products,liver,raw",6.4,59.85,5,,0.7,125
"beef,var meats&by-products,liver,raw",4.9,59.3,5,1.2,1.3,290
"lamb,nz,imp,liver,ckd,soaked & fried",5.4,57.5,5,0,0,
