food_name,iron_mg_100g,b12_mcg_100g,calcium_mg_100g,vit_d_mcg_100g,vit_c_mg_100g,folate_dfe_mcg_100g
"fish oil,cod liver",0,0,0,250,0,0
"mushrooms,brown,italian,or crimini,exposed to uv lt,raw",0.4,0.1,18,31.9,0,28
amaranth ladoo (rajgira ladoo),6.47,,144.58,31.25,0.08,21.69
mustard seeds baghar (mustard seed tadka),4.14,,182.93,30.67,1.28,37.88
sesame ladoo (til ke ladoo),8.94,,631.82,28.73,0,66.09
"mushrooms,portabella,exposed to uv lt,raw",0.31,0.05,3,28.4,0,28
"mushrooms,maitake,raw",0.3,0,1,28.1,0,21
"halibut,greenland,raw",0.66,1,3,27.4,0,1
"mushroom,white,exposed to uv lt,raw",0.5,0,3,26.2,2.1,17
"mackerel,salted",1.4,12,66,25.2,0,15
"carp,raw",1.24,1.53,41,24.7,1.6,15
"eel,mixed species,raw",0.5,3,20,23.3,1.8,15
finger millet biscuit (ragi biscuit),2.54,,207.04,22.07,0,18.41
"salmon,sockeye,cnd,drnd sol,wo/ skn & bones",0.48,5.54,37,21.5,0,4
"fish,salmon,sockeye,cnd,drnd sol",0.65,5.5,232,21,0,4
garam masala,14.51,,609.77,19.02,9,20.68
"trout,rainbow,farmed,ckd,dry heat",0.36,4.11,30,19,2.9,12
"salmon,sockeye,cnd,total can contents",0.57,0.4,198,19,0,3
"salmon,chinook,smoked",0.85,3.26,11,17.1,0,2
"fish,salmon,sockeye,ckd,dry heat",0.52,4.47,11,16.7,0,7
